enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,tokenizedEquity
True,False,0.05,0.005,0.005,213.7,210.75,213.45,213.45,future,,,BABA,True,False,0.0,0.00023430178069353328,0.0,0.0,0.0,True
True,False,0.05,0.005,0.005,211.8,211.45,213.2,211.8,future,,,BABA,True,False,0.0,0.0,0.0,0.0,0.0,True
True,False,0.05,0.005,0.005,212.3,212.1,212.4,212.3,spot,BABA,USD,,True,True,0.0,0.0,0.0,0.0,0.0,True
True,False,0.005,0.01,0.01,11.58,11.58,11.62,11.58,future,,,BADGER,False,False,-0.005154639175257732,-0.016142735768903994,-0.06537530266343826,1208730.5022,1208730.5022,
True,False,0.005,0.01,0.01,11.615,11.58,11.625,11.615,spot,BADGER,USD,,False,True,-0.005139186295503212,-0.01526070368800339,-0.06255044390637611,64277.5178,64277.5178,
True,False,0.0025,0.01,0.01,17.8525,17.84,17.87,17.8525,future,,,BAL,False,False,-0.009295227524972253,-0.09332148298628745,-0.054422669491525424,1360642.9554,1360642.9554,
True,False,0.0025,0.01,0.01,17.6675,17.585,17.7125,17.6675,future,,,BAL,False,False,-0.00897489833122984,-0.08965606080123664,-0.050134408602150536,2673.074725,2673.074725,
True,False,0.0025,0.01,0.01,17.895,17.1375,17.2725,17.2725,future,,,BAL,False,False,-0.009746309301992261,-0.09413924216598925,-0.05614754098360656,88.73565,88.73565,
True,False,0.0025,0.01,0.01,17.985,17.815,17.925,17.925,spot,BAL,USD,,False,True,-0.010351966873706004,-0.0901015228426396,-0.052840158520475564,35262.258,35262.258,
True,False,0.0025,0.01,0.01,17.93,17.765,17.95,17.93,spot,BAL,USDT,,False,True,-0.006648199445983379,-0.09604234938240484,-0.05370101596516691,23099.266925,23097.97659994957,
